Time 	#	x	y	z	Vel(m/s)	Energy Level(%)	Current Energy(Wh)	Energy Consumed(Wh)	Total Consumed(Wh)
1	0	5.1	-1.65	0	1	0.0462963	14999.4	6.94454e-310	6.94454e-310
2	0	6.1	-1.65	0	2	0.0462944	14998.2	0.607159	0.607159
3	0	8.1	-1.65	0	3	0.0462908	14996.4	1.18839	1.79554
4	0	11.1	-1.65	0	4	0.0462853	14994	1.78094	3.57649
5	0	15.1	-1.65	0	5	0.0462779	14991	2.39006	5.96654
6	0	20.1	-1.65	0	6	0.0462686	14987.3	3.02125	8.98779
7	0	26.1	-1.65	0	7	0.0462572	14983	3.68003	12.6678
8	0	33.1	-1.65	0	8	0.0462437	14977.9	4.37192	17.0397
9	0	41.1	-1.65	0	9	0.046228	14972	5.10245	22.1422
10	0	50.1	-1.65	0	10	0.0462098	14965.3	5.87713	28.0193
11	0	60.1	-1.65	0	11	0.0461891	14957.7	6.70148	34.7208
12	0	71.1	-1.65	0	12	0.0461657	14949.2	7.58101	42.3018 
13	0	83.1	-1.65	0	13	0.0461394	14939.6	8.52125	50.8231
14	0	96.1	-1.65	0	13.9	0.04611	14929.2	9.52772	60.3508
15	0	110	-1.65	0	13.9	0.0460776	14918.7	10.4947	70.8455
16	0	123.9	-1.65	0	13.9	0.0460452	14908.2	10.4947	81.3402
17	0	137.8	-1.65	0	13.9	0.0460129	14897.7	10.4947	91.835
18	0	151.7	-1.65	0	13.9	0.0459805	14887.2	10.4947	102.33
19	0	165.6	-1.65	0	13.9	0.0459481	14876.7	10.4947	112.824
20	0	179.5	-1.65	0	13.9	0.0459157	14866.2	10.4947	123.319
21	0	193.4	-1.65	0	13.9	0.0458833	14855.7	10.4947	133.814
22	0	207.3	-1.65	0	13.9	0.0458509	14845.2	10.4947	144.309
23	0	221.2	-1.65	0	13.9	0.0458185	14834.7	10.4947	154.803
24	0	235.1	-1.65	0	13.9	0.0457861	14824.2	10.4947	165.298
25	0	249	-1.65	0	13.9	0.0457537	14813.7	10.4947	175.793
26	0	262.9	-1.65	0	13.9	0.0457213	14803.2	10.4947	186.287
27	0	276.8	-1.65	0	13.9	0.0456889	14792.7	10.4947	196.782
28	0	290.7	-1.65	0	13.9	0.0456566	14782.2	10.4947	207.277
29	0	304.6	-1.65	0	13.9	0.0456242	14771.7	10.4947	217.772
30	0	318.5	-1.65	0	13.9	0.0455918	14761.2	10.4947	228.266
31	0	332.4	-1.65	0	13.9	0.0455594	14750.7	10.4947	238.761
32	0	346.3	-1.65	0	13.9	0.045527	14740.2	10.4947	249.256
33	0	360.2	-1.65	0	13.9	0.0454946	14729.8	10.4947	259.751
34	0	374.1	-1.65	0	13.9	0.0454622	14719.3	10.4947	270.245
35	0	388	-1.65	0	13.9	0.0454298	14708.8	10.4947	280.74
36	0	401.9	-1.65	0	13.9	0.0453974	14698.3	10.4947	291.235
37	0	415.8	-1.65	0	13.9	0.045365	14687.8	10.4947	301.729
38	0	429.7	-1.65	0	13.9	0.0453326	14677.3	10.4947	312.224
39	0	443.6	-1.65	0	13.9	0.0453003	14666.8	10.4947	322.719
40	0	457.5	-1.65	0	13.9	0.0452679	14656.3	10.4947	333.214
41	0	471.4	-1.65	0	13.9	0.0452355	14645.8	10.4947	343.708
